table,_start,_stop,_time,_value,_field,_measurement,device,location
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:09:55.79128376Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:10:55.851647086Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:11:56.111225324Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:12:56.172776989Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:13:56.432487453Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:14:56.643914642Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:15:56.855884827Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:16:56.929907378Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:17:57.178726602Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:18:57.390484057Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:19:57.601727973Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:20:57.680993296Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:21:57.92641244Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:22:58.135326907Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:23:58.350054675Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:24:58.56313454Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:25:58.771346801Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:26:58.984475092Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:27:59.045563276Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:28:59.101457985Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:29:59.417585172Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:30:59.628951646Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:31:59.83965083Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:33:00.049797332Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:34:00.11443473Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:35:00.373312062Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T02:36:00.584345188Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
