table,_start,_stop,_time,_measurement,device,location,count,entered,exited
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:29:48.539850683Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:30:48.596298412Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:31:48.858627343Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:32:49.072931661Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:33:49.284913968Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:34:49.493508236Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:35:49.706006355Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:36:49.918583791Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:37:50.132916761Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:38:50.342375774Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:39:50.555653303Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:40:50.771617174Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:41:50.97848678Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:42:51.193694069Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:43:51.406270641Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:44:51.618176135Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:45:51.683038168Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:46:51.743302229Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:47:51.793114223Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:48:52.056889758Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:49:52.269996671Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:50:52.336877685Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:51:52.591055677Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:52:52.648576188Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:53:52.709295297Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:54:52.920947881Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:55:53.131522055Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:56:53.194007383Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:57:53.454264131Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:58:53.662946806Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:59:53.877450736Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:00:53.986659155Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:01:54.198517837Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:02:54.514691139Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:03:54.726305725Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:04:54.938117774Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:05:55.24947847Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:06:55.307061109Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:07:55.373830811Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:08:55.580193343Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:09:55.79128376Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:10:55.851647086Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:11:56.111225324Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:12:56.172776989Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:13:56.432487453Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:14:56.643914642Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:15:56.855884827Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:16:56.929907378Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:17:57.178726602Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:18:57.390484057Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:19:57.601727973Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:20:57.680993296Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:21:57.92641244Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:22:58.135326907Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:23:58.350054675Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:24:58.56313454Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:25:58.771346801Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:26:58.984475092Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:27:59.045563276Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:28:59.101457985Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:29:59.417585172Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T02:30:59.628951646Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
